Nº;Proyecto;Emplazamiento;Provincia/Estado;País;Promotor;EPC;Responsable;Potencia AC (MW);Potencia DC (MWp);Modulista;Módulo;Potencia módulo (W);Cantidad módulos;String;Pitch;Tecnología;Inversor (tipo);Inversor (fabricante);Inversor (modelo);Total trackers;Trackers bifila;Trackers monofila;Concentradores;NCUs ethernet;NCUs FO;Total anemómetros;Anemómetros veleta;Anemómetros US;Sensor nieve;Alimentación RSUs;Alimentación TCUs;Panel FV;Panel FV (modelo);Batería TCU;Repetidores;Sistema control;Comunicaciones;Cold commissioning;Site;Escaneo;Offset;Hot commissioning;Estado PEM;Garantía;Inicio PEM;Final PEM;Duración PEM;Acceso remoto;lat;lng;Checklist PEM;Huecos
24002;El Burgo I;Zaragoza;Zaragoza;España;EIG;Xamai Global;Factiun;11;13.9586;JA Solar;JAM66D45-585-610-LB;605;23072;28;6;Bifacial;String;Sungrow;SG350HX;215;215;0;2;1;1;4;0;4;1;Selfpowered;String;-;-;6Ah;0;Sunner;Zigbee;Sí;Sí;Sí;Sí;Sí;En marcha;;;;;;41.575945;-0.798424;5/5;5
24007;Fayón;Fayón;Zaragoza;España;Bombeatec;Sorigues;Factiun;1.4;1.2566;Longi;LR7-72HGD-595M;595;2112;24/27;6;Bifacial;String;Sungrow;SG350HX;24;24;0;1;1;0;1;0;1;0;Selfpowered;Selfpowered;-;-;6Ah;0;Sunner;Zigbee;Sí;Sí;Sí;Sí;Sí;En marcha;Sí;2025-02-20;2025-02-20;1;No;41.227181;0.323531;5/5;0
24019;San José;La Joya;Arequipa;Perú;Acciona;Acciona;Factiun;;177.984;JA Solar;JAM66D45-585-610-LB;;288000;32;6.198;Bifacial;Central;;;2289;2289;0;21;18;3;8;0;8;0;Selfpowered;Selfpowered;45W;;6Ah;11;Sunner;Zigbee;;;;;;Sin comenzar;;;;;;-16.600313;-71.802688;;15
24021;Túnez;El Hamma;Gabes;Túnez;Bombeatec;Zwinenergy;Factiun;;0.9408;Phono;;700;1344;;6;Bifacial;String;;;19;19;0;1;1;0;1;0;1;0;Selfpowered;Selfpowered;45W;;6Ah;0;Sunner;Zigbee;Sí;Sí;Sí;Sí;Sí;En marcha;Sí;2026-02-06;2026-02-10;3;No;33.87878;9.87395;5/5;6
24024;Alconadre · Sodeto;Lalueza;Huesca;España;Bombeatec;;Factiun;;0.35;;;625;560;28;7.2;;;;;5;5;0;;;;;;;;;;;;;;;;;;;;;En marcha;;;;;;41.926278;-0.277708;;33
24024;Alconadre · San Miguel;Sena;Huesca;España;Bombeatec;;Factiun;;1.82;;;625;2912;28;7.2;;;;;32;30;2;;;;;;;;;;;;;;;;;;;;;En marcha;;;;;;41.607279;-0.140755;;33
24024;Alconadre · Peralta de Alcofea;Peralta de Alcofea;Huesca;España;Bombeatec;;Factiun;;1.4;;;625;2240;28;7.2;;;;;22;22;0;;;;;;;;;;;;;;;;;;;;;En marcha;;;;;;41.946462;-0.075749;;33
24025;Ayora;Jarafuel;Valencia;España;;Grupo Zaragozá;Factiun;;52.523;Risen;RSM132-8-695-720BNDG;710;73976;28;6;Bifacial;String;Huawei;;754;754;0;16;11;5;8;0;8;2;AC;String;-;;6Ah;5;Sunner;Zigbee;Sí;Sí;Sí;Sí;Sí;En marcha;Sí;03/08/2026;03/09/2026;20;Sí;39.121531;-1.154563;5/5;4
24029;La Latina 2;Borgo Piave;Latina;Italia;;Grupo Zaragozá;Factiun;;2.644;Risen;RSM132-8-695-720BNDG;710;3724;28;5,5;;;;;67;66;1;1;1;0;2;0;2;;AC;String;-;-;6Ah;;Sunner;Zigbee;;;;;;Sin comenzar;;;;;;41.450808;12.816564;;18
24030;Bagnarelli;Lucera;Foggia;Italia;;Grupo Zaragozá;Factiun;;0.9202;Risen;RSM132-8-695-720BNDG;710;1296;;5.5;Bifacial;String;Huawei;;17;17;0;1;1;0;2;0;2;0;Selfpowered;String;-;-;6Ah;0;Sunner;Zigbee;Sí;Sí;Sí;Sí;Sí;En marcha;Sí;2025-09-23;2025-09-25;3;Si;41.514694;15.267278;5/5;4
